char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
蓾|lu3||||||||14|4460.1|TYWI|廿卜田戈|53277.140|1053.050||140|||||
蓿|xu5|clover, lucerne|||||||14|4426.1|TJOA|廿十人日|53285.010|1053.060|1260|140|||||
蔀|bu4|screen|||||||13|4462.7|TYRL|廿卜口中|53268.110|1053.070|1070|140|||||
蔁|zhang1||||||||14||XTYTJ|難廿卜廿十|53283.120|1053.100||140|||||
蔂|lei2|basket, hod||虆|||||14|4490.3|TWVF|廿田女火|53279.050|1053.110||140|||||
蔃|qiang2|(Cant.) roots of plants|||||||15||TNII|廿弓戈戈|53297.160|1053.130||140|||||
蔄|man4||||||||14||TANR|廿日弓口|53285.070|1053.150||140|||||
蔅|yan2||||||||14||TANV|廿日弓女|53285.080|1053.160||140|||||
蔆|ling2|water-chestnut, water caltrop|||||||14|4414.7|TEGE|廿水土水|53284.060|1053.190||140|||||
蔇|ji4|luxuriant growth; extreme; to reach|||||||12|4471.4|TAIU|廿日戈山|53280.170|1053.230|599B|140|||||
蔈|biao1||||||||14|4490.1|TMWF|廿一田火|53276.120|1053.240||140|||||
蔉|gun3|earth up|||||||14|4473.2|TYCV|廿卜金女|53283.090|1053.260|725|140|||||
蔊|han3||||||||14|4494.1|TFAJ|廿火日十|53284.040|1053.270||140|||||
蔋|di2||||||||14|4434.7|TEYE|廿水卜水|53284.100|1053.290||140|||||
蔌|su4|vegetables|||||||14|4498.2|TDLO|廿木中人|53276.070|1053.320|1230|140|||||
蔍|lu4||||||||14|4421.1|TIXP|廿戈難心|53283.100|1053.330||140|||||
蔎|she4||||||||14|4464.7|TYRE|廿卜口水|53282.120|1053.360||140|||||
蔏|shang1||||||||14|4422.7|TYCB|廿卜金月|53283.150|1053.370||140|||||
蔐|di2||||||||14||TYCB|廿卜金月|53283.140|1054.020||140|||||
蔑|mie4|disdain, disregard; slight|||||5||14|4425.3|TWLI|廿田中戈|53279.080|1054.030|906|140|6|1637|despise|1665|despise
蔒|xun1||||||||14|4433.6|TSRF|廿尸口火|53285.100|1054.050||140|||||
蔓|man4|creeping plants, tendrils, vines|||||5||14|4440.7|TAWE|廿日田水|53278.050|1054.060|867|140|6|||1976|creeping vine
蔔|bo2|radish; other root vegetables|||菔||5||14|4462.7|TPMW|廿心一田|53282.040|1054.070|1004|140|||||
蔕|di4|peduncle or stem of plants|||||||14|4422.7|TKPB|廿大心月|53275.110|1054.110|1287|140|||||
蔖|cuo2||||||||14|4421.7|TYPM|廿卜心一|53277.170|1054.120||140|||||
蔗|zhe4|sugar cane|||||5||14|4423.1|TITF|廿戈廿火|53283.030|1054.160|1238|140|||||
蔘|shen1|ginseng; huge|||||||14|4420.2|TIIH|廿戈戈竹|53286.100|1054.170||140|||||
蔙|xuan4||||||||14|4428.1|TYSO|廿卜尸人|53284.010|1054.230||140|||||
蔚|wei4|luxuriant, thick; ornamental|||嶎||5||14|4424.0|TSFI|廿尸火戈|53285.120|1054.270|1429|140|6|2106|luxuriant|2164|luxuriant
蔛|hu2|a small orchid-like plant it bears white flowers a dendrobium|||||||14||TNBJ|廿弓月十|53282.050|1054.300||140|||||
蔜|ao2||||||||13|4424.8|TGSK|廿土尸大|53275.050|1054.330||140|||||
蔝|mi3||||||||14|4469.4|TBUD|廿月山木|53278.020|1054.340||140|||||
蔞|lou2|Artemisia stelleriana|蒌|||褸|||14|4440.4|TLWV|廿中田女|53278.040|1054.350|780|140|||||
蔟|cu4|frame on which silkworms spin|||||||14|4423.4|TYSK|廿卜尸大|53283.160|1054.370|306|140|||||
蔠|zhong1||||||||14|4493.3|TVFY|廿女火卜|53287.040|1055.010||140|||||
蔡|cai4|surname; species of tortoise|||||4||14|4490.1|TBOF|廿月人火|53282.100|1055.030|54 246|140|||||
蔢|po2||||||||14||TEEV|廿水水女|53284.150|1055.050||140|||||
蔣|jiang3|surname; Hydropyrum latifalium|蒋||||4||14|4424.2|TVMI|廿女一戈|53285.170|1055.060|112|140||2193|Jiang||
蔤|mi4||||||||14|4477.3|TJPU|廿十心山|53285.030|1055.090||140|||||
蔥|cong1|scallions, onions, leeks|葱||葱||5||14|4433.2|THWP|廿竹田心|53281.020|1055.110|326|140||2949|onion||
蔦|niao3|the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum|茑||||||14|4432.7|THAF|廿竹日火|53281.150|1055.140|982|140|||||
蔧|hui4||||||||14|4417.1|TQJM|廿手十一|53274.150|1055.160||140|||||
蔨|juan4||||||||14|4460.0|TWFU|廿田火山|53280.030|1055.180||140|||||
蔩|yin2||||||||14|4480.6|TJMC|廿十一金|53284.170|1055.190||140|||||
蔪|jian4||||||||14|4452.1|TJJL|廿十十中|53276.030|1055.200||140|||||
蔫|nian1|withered, faded, decayed; calm|||||||14|4432.7|TMYF|廿一卜火|53274.180|1055.230|1576|140|||||
蔬|shu1|vegetables, greens|||||5||15|4411.3|TNMU|廿弓一山|53298.020|1055.250|1226A|140|5|1877|veggies|1922|veggies
蔭|yin1|shade, shelter; protect|荫||廕||5||13|4423.1|TNLI|廿弓中戈|53273.020|1055.260|1474A|140||1190|shady||
蔮|guo2||||||||14|4460.0|TWIM|廿田戈一|53279.060|1055.270||140|||||
蔯|chen2|a variety of artemisia|||||||13|4429.6|TNLW|廿弓中田|53272.150|1055.350|67|140|||||
蔰|hu4||||||||14|4421.7|THSU|廿竹尸山|53285.040|1056.100||140|||||
蔱|sha1||||||||13|4494.7|TKCE|廿大金水|53266.060|1056.121||140|||||
蔲|kou4|nutmeg|||||||14||TJMK|廿十一大|53284.151|1056.121||140|||||
蔳|qian4||||||||14||TEQB|廿水手月|53284.050|1056.121||140|||||
蔴|ma2|hemp; sesame; applied to other plants furnishing textile fibres|||麻|麻|||14||TIDD|廿戈木木|53283.040|1056.121|862|140|||||
蔵|zang1|hide, conceal; hoard, store up|||||||14|4425.3|XTIHS|難廿戈竹尸|53277.040|1056.121||140|||||
蔶|ze2||||||||14||TQMC|廿手一金|53274.151|1056.121||140|||||
蔷|qiang2|rose||薔|||5||14|4460|TGCW|廿土金田|53275.150|1056.121||140|||||
蔸|dou1|counter for plant|||||||14|4421|THVU|廿竹女山|53281.010|1056.121||140|||||
蔹|lian3|wild vine, vitis pentaphylla||蘞|||||14|4414|TOMK|廿人一大|53281.100|1056.121||140|||||
蔺|lin4|rush used for making mats; surnam||藺|||5||14|4422|TLSG|廿中尸土|53284.030|1056.121||140|||||
蔻|kou4|肉豆蔻 nutmeg, 豆蔻 cardamon|||||||14|4421.4|TJME|廿十一水|53284.152|1056.121|590|140|||||
蔼|ai3|lush; affable, friendly||藹|||5||14|4472|TIVV|廿戈女女|53285.050|1056.121||140|6||||
蔽|bi4|cover, hide, conceal; shelter|||||5||14|4424.8|TFBK|廿火月大|53277.190|1056.150|1013|140|6|1981|shelter|2041|shelter
蔾|li2|kind of bramble|||||||15|4490.4|THHD|廿竹竹木|53291.120|1056.190|791A|140|||||
蔿|wei3|surname; place name|||||||15||TBHF|廿月竹火|53294.011|1056.220|1431|140|||||
蕀|ji2||||||||15|4499.2|TDBB|廿木月月|53289.030|1056.250||140|||||
蕁|qian2|nettle|荨||||||15|4434.6|TSMI|廿尸一戈|53297.100|1056.260||140|||||
蕂|sheng4|sesame|||||||15||TBFS|廿月火尸|53294.030|1056.310||140|||||
蕃|fan1|foreign things|||||5||15|4460.9|THDW|廿竹木田|53293.130|1056.330|338|140|||||
蕄|meng2||||||||15|4422.7|TANP|廿日弓心|53297.130|1056.430||140|||||
蕅|ou3||||||||15|5532.7|TEWB|廿水田月|53296.020|1057.020|965|140|||||
蕆|chan3|finish, complete; solve; complete|蒇||||||15|4425.0|TIHC|廿戈竹金|53289.050|1057.060|194 1212|140|||||
蕇|dian3||||||||15|4440.6|TRRJ|廿口口十|53291.020|1057.080|1294|140|||||
蕈|xun4|mushrooms, fungus; mildew, mold|||菌||||15|4440.6|TMWJ|廿一田十|53289.020|1057.090|1292|140|||||
蕉|jiao1|banana; plantain|||||5||15|4433.1|TOGF|廿人土火|53292.110|1057.180||140|3|1736|banana|1773|banana
蕊|rui3|unopened flowers, flower buds|||蕋||5||15|4433.3|TPPP|廿心心心|53297.020|1057.200|1640|140|||||
蕋|rui3|unopened flowers, flower buds|||蕊||||15|4411.1|TYMM|廿卜一一|53290.060|1057.210|1640|140|||||
蕌|lei3||||||||15||TAAA|廿日日日|53290.180|1057.220||140|||||
蕍|yu2||||||||15|4412.1|TEON|廿水人弓|53296.040|1057.240||140|||||
蕎|qiao2|buckwheat|荞||荍||||15|4422.7|THKB|廿竹大月|53292.040|1057.270|636|140|||||
蕏|chu2||||||||14||TKHA|廿大竹日|53282.080|1057.300||140|||||
蕐|hua2|splendor, glory; China||||華|||15||TMOQ|廿一人手|53289.100|1057.330|1410|140|||||
蕑|jian1|valeriana villosa, climbing plant|||||||15|4422.7|TANB|廿日弓月|53297.120|1057.350|422|140|||||
蕒|mai3|a plant name|荬||||||15||TWLC|廿田中金|53291.050|1057.360||140|||||
蕓|yun2|rue, an herb used keep insects away|芸||||||15|4413.1|TMBI|廿一月戈|53290.020|1057.390|1441A|140|||||
蕔|bao1||||||||15|4444.7|TGJE|廿土十水|53288.050|1057.410||140|||||
蕕|you2|caryopteris divaricata|莸||||||15|4426.1|TKHW|廿大竹田|53294.080|1057.420|1513B|140|||||
蕖|qu2||||||||14|4490.4|TESD|廿水尸木|53284.070|1057.430|679|140|||||
蕗|lu4|leucacene|||||||16|4416.4|TRMR|廿口一口|53301.140|1058.020||140|||||
蕘|rao2|fuel, firewood; stubble|荛||||||15|4421.1|TGGU|廿土土山|53287.100|1058.030|1598|140|||||
蕙|hui4|species of fragrant orchid|||||5||15|4433.3|TJIP|廿十戈心|53288.220|1058.060|1437|140|||||
蕚|e4|the calyx of a flower; younger brother|||||||15|4420.7|TRRS|廿口口尸|53291.030|1058.080||140|||||
蕛|ti2||||||||15|4492.7|THDH|廿竹木竹|53292.020|1058.100||140|||||
蕜|fei3||||||||15||TLYP|廿中卜心|53290.050|1058.130||140|||||
蕝|jue2|handful|||||||15|4491.7|TVFU|廿女火山|53298.170|1058.140|284|140|||||
蕞|zui4|little, small, tiny; petty|||||||15|4414.7|TASE|廿日尸水|53290.120|1058.150|289|140|||||
蕟|fa4||||||||15||TNOE|廿弓人水|53298.090|1058.160||140|||||
蕠|ru2||||||||15|4490.3|TVRF|廿女口火|53298.050|1058.190|1256|140|||||
蕡|fen2|hemp seeds; plant with abundant|||||||15|4480.6|TJTC|廿十廿金|53287.120|1058.250|1020|140|||||
蕢|kui4|edible amaranth; straw basket|蒉||簣籄||||15|4480.6|TLMC|廿中一金|53291.010|1058.280|716|140|||||
蕣|shun4|hibiscus|||橓||||15|4425.2|TBBQ|廿月月手|53294.020|1058.310|1273|140|||||
蕤|rui2|drooping leaves; fringe soft, delicate|||甤||||15|4423.1|TMOM|廿一人一|53289.120|1058.350|155 1641|140|||||
蕥|ya3||||||||15|4421.4|TMHG|廿一竹土|53290.030|1058.360||140|||||
蕦|xu1||||||||15|4428.6|THHC|廿竹竹金|53293.070|1058.370||140|||||
蕧|fu4||||||||15|4424.7|THOE|廿竹人水|53293.060|1058.390||140|||||
蕨|jue2|pteris aquilina, common bracken|||||||15|4428.2|TMTO|廿一廿人|53289.080|1058.410||140|||||
蕩|dang4|pond, pool; wash away, cleanse|荡||偒盪蘯||5||15|4412.7|TEAH|廿水日竹|53295.160|1058.420|1380|140||1728|licentious||
蕪|wu2|luxurious growth of weeds|芜||||5||15|4433.1|TOTF|廿人廿火|53291.080|1059.020|914|140|||||
蕫|dong3||||||||15|5510.4|TYTG|廿卜廿土|53295.020|1059.060||140|||||
蕬|si1||||||||15|4499.3|TVFF|廿女火火|53298.150|1059.080||140|||||
蕭|xiao1|common artemisia; sighing of wind; mournful; dejected|萧||||4||16|4422.7|TLX|廿中難|53308.120|1059.100|1219 1261|140||2197|desolate||
蕮|xi4||||||||15|4432.7|THXF|廿竹難火|53292.060|1059.110||140|||||
蕯|long2||||||||14||TNLM|廿弓中一|53286.030|1059.250||140|||||
蕰|wen1|the hippuris or mare's tail plant||薀|||||15||TEAT|廿水日廿|53296.010|1059.291||140|||||
蕱|shao1||||||||15|2992.0|THDB|廿竹木月|53291.091|1059.291||140|||||
蕲|qi2|variety of artemisia seek||蘄|||||15|4452|TCJL|廿金十中|53295.080|1059.291||140|||||
蕳|jian1|agueweed|||||||15||TANA|廿日弓日|53297.111|1059.291|547|140|||||
蕴|yun4|to collect, gather, store; profound||蘊|||||15|4411|TVMT|廿女一廿|53298.130|1059.291||140|6|||2496|amass
蕵|sun1||||||||15|4423.2|TNIV|廿弓戈女|53300.171|1059.291||140|||||
蕶|ling2||||||||16|4430.7|TMBI|廿一月戈|53301.010|1059.330||140|||||
蕷|yu4|yam|蓣||||||16|4428.6|TNNC|廿弓弓金|53309.090|1059.340|1617|140|||||
蕸|xia2|water lily's leaf|||||||15|4430.4|TYRE|廿卜口水|53297.150|1059.350||140|||||
蕹|weng4|Ipomoea aquatica used as a vegetable|||||||16|4421.4|TYVG|廿卜女土|53306.050|1059.380|1652|140|||||
蕺|ji2||||||||15|4415.3|TRJI|廿口十戈|53290.170|1059.400|71|140|||||
蕻|hong2||||||||16|4478.1|TSIC|廿尸戈金|53299.060|1059.410|693|140|||||
蕼|si4||||||||16|4475.7|TSIQ|廿尸戈手|53299.070|1059.430||140|||||
蕽|nong2||||||||16||TTWV|廿廿田女|53301.160|1059.450||140|||||
蕾|lei3|buds, unopened flowers|||||5||16|4460.3|TMBW|廿一月田|53300.180|1059.480|837|140|6|1666|flower bud|1691|flower bud
蕿|xuan1||||||||16||TFBE|廿火月水|53307.010|1059.510|989|140|||||
薀|yun4|the hippuris or mare's tail plant|蕰||||||16|4411.7|TEWT|廿水田廿|53296.011|1059.520||140|||||
薁|yu4|vine|||||||15|4443.0|THBK|廿竹月大|53303.100|1060.010|992|140|||||
薂|xi2||||||||16|4424.8|THSK|廿竹尸大|53303.060|1060.040||140|||||
薃|hao4||||||||16|4412.7|TEYB|廿水卜月|53308.050|1060.070||140|||||
薄|bao bó2|thin, slight, weak; poor, stingy|||||4||16|4414.6|TEII|廿水戈戈|53307.030|1060.120|1073B|140|5|2731|slight|2793|slight
薅|hao1|to weed; to eradicate|||茠||||16|4444.3|TVMI|廿女一戈|53309.060|1060.140|1650A|140|||||
薆|ai4|to cover; to hide; to conceal|||||||16|4424.7|TBBE|廿月月水|53304.040|1060.160|994|140|||||
薇|wei1|Osmunda regalis, a species of fern|||||5||16|4424.8|THOK|廿竹人大|53303.120|1060.210|888A|140|||||
薈|hui4|luxuriant, flourishing, abundant|荟||||||16|4460.6|TOMA|廿人一日|53304.010|1060.220|1466|140|||||
薉|hui4|dirty, unclean; immoral, obscene|||||||16|4425.3|TYMH|廿卜一竹|53301.030|1060.230||140|||||
薊|ji4|circium, thistles; surname|蓟||||||16|4432.0|TNFN|廿弓火弓|53304.110|1060.240|559|140|||||
薋|ci2||||||||16|4480.6|TIOC|廿戈人金|53306.010|1060.280|129|140|||||
薌|xiang1|fragrant smell of grain; aromatic|芗||||||14|4422.7|TVHL|廿女竹中|53287.010|1060.290|463|140|||||
薍|wan4||||||||16|4421.2|TBBU|廿月月山|53304.050|1060.310||140|||||
薎|mie4||||||||16|4425.3|TWLI|廿田中戈|53302.040|1061.030||140|||||
薏|yi4|seed of job's tears; lotus seed|||||||16|4433.6|TYTP|廿卜廿心|53306.040|1061.040|1535|140|||||
薐|leng2|spinach|||||||16|4494.7|THDE|廿竹木水|53302.090|1061.070|810A|140|||||
薑|jiang1|ginger|||葁||5||16|4410.6|TMWM|廿一田一|53300.090|1061.090|607|140||2217|ginger||
薒|can4||||||||16||TYED|廿卜水木|53301.050|1061.100||140|||||
薓|shen1|ginseng||||參|||16||XTESE|難廿水尸水|53308.060|1061.110||140|||||
薔|qiang2|rose|蔷||||5||16|4460.1|TGOW|廿土人田|53300.030|1061.120|122 1191|140|||||
薕|lian2||||||||16|4423.7|TITC|廿戈廿金|53305.100|1061.130||140|||||
薖|ke1|empty, hungry-looking|||||||14|4430.2|TYBB|廿卜月月|53280.050|1061.150|745|140|||||
薗|yuan2|garden; park, orchard|||||||16|4460.0|TWGV|廿田土女|53301.150|1061.180||140|||||
薘|da2|plantago major|荙||||||15|4430.4|TYGQ|廿卜土手|53288.040|1061.190|1306|140|||||
薙|ti4|weed; shave|||||||16|4441.4|TOKG|廿人大土|53302.070|1061.200|152|140|||||
薚|tang1||||||||16|4422.7|TMNH|廿一弓竹|53300.160|1061.210||140|||||
薛|xue1|kind of marsh grass; feudal state|||||5||16|4474.1|THRJ|廿竹口十|53303.080|1061.220|1215|140||3014|Xue|3005|Xue
薜|bi4|evergreen shrubs, ligusticum|||||||16|4464.1|TSRJ|廿尸口十|53308.140|1061.240|1040|140|||||
薝|zhan1||||||||16|4426.1|TNCR|廿弓金口|53304.100|1061.260||140|||||
薞|sun1||||||||16|4423.2|TMNV|廿一弓女|53300.170|1061.280||140|||||
薟|xian1|vine|莶||蘞||||16|4488.6|TOMO|廿人一人|53303.150|1061.300||140|||||
薠|fan2||||||||16|4488.6|TFMC|廿火一金|53306.080|1061.310||140|||||
薡|ding3||||||||15|4422.7|TBUL|廿月山中|53290.160|1061.360||140|||||
薢|xie4|woody climbing plant|||||||16|4425.2|TNBQ|廿弓月手|53305.040|1061.380|538|140|||||
薣|gu3||||||||16|4414.7|TGTE|廿土廿水|53299.100|1061.390||140|||||
薤|xie4|allium bakeri; shallots, scallion|||||||16|4421.1|TMNM|廿一弓一|53300.150|1061.400|1284|140|||||
薥|shu3||||||||16||XXTWL|難難廿田中|53302.020|1062.010||140|||||
薦|jian4|offer, present; recommend|荐||荐||3||16|4422.7|TIXF|廿戈難火|53305.110|1062.020|144 189|140||2884|recommend||
薧|hao1|dried food|||||||16|4421.1|TYRP|廿卜口心|53305.060|1062.060|480|140|||||
薨|hong1|death of prince; swarming|||||||16|4421.1|TWLP|廿田中心|53302.030|1062.070|934|140|||||
薩|sa4|transliteration of 'sat' in 'bodhisattva,' etc.|萨||||4||16|4421.4|TNLM|廿弓中一|53309.050|1062.080|30|140||2653|Samoa||
薪|xin1|fuel, firewood; salary|||||4||16|4492.1|TYDL|廿卜木中|53306.030|1062.090|1124B|140|6|1124|fuel|1192|fuel
薫|xun1|a medicinal herb; to cauterize|||||||16|4433.1|XTHGF|難廿竹土火|53302.121|1062.441||140|||||
薬|yao4|drugs, pharmaceuticals, medicine|||||||16|4490.4|TIOD|廿戈人木|53303.051|1062.441||140|||||
薭|bai4||||||||16||XTHDJ|難廿竹木十|53302.111|1062.441||140|||||
薮|sou3|marsh, swamp; wild country||藪|||||16|4444.8|TFVK|廿火女大|53306.070|1062.441||140|||||
薯|shu3|yam, tuber, potato|||藷||5||16|4460.4|TWLA|廿田中日|53301.180|1062.450|268|140||2243|yam|2303|yam
薰|xun1|a medicinal herb; to cauterize|||||5||17|4433.1|THGF|廿竹土火|53313.140|1062.460|350|140|||||
薱|dui4||||||||17|4414.0|TTGI|廿廿土戈|53312.050|1062.470||140|||||
薲|pin2||||||||17||XTJMC|難廿十一金|53316.100|1062.480||140|||||
薳|wei3|name of a herb; surname; (Cant.) a plant stem|䓕||||||16|4430.3|TYGV|廿卜土女|53299.090|1062.490|1632|140|||||
薴|ning2|China grass, ramie (Boehmeria nivea)|苧||||||17|4420.1|TJPN|廿十心弓|53316.130|1062.500||140|||||
薵|chou2||||||||17|4464.1|TGNI|廿土弓戈|53310.080|1062.510||140|||||
薶|mai2|to bury, to stop up; dirty, filthy|||||||17|4421.4|TBHG|廿月竹土|53314.100|1062.520|789A|140|||||
薷|ru2||||||||17|4422.7|TMBB|廿一月月|53312.020|1063.020|1250|140|||||
薸|piao2|duckweed|||||||17|4419.1|TEMF|廿水一火|53316.030|1063.030|1066A|140|||||
薹|tai2|cyperus rotundus, type of sedge|||||||17|4410.4|TGRG|廿土口土|53310.040|1063.040|1374|140|||||
薺|ji4|water-chestnuts; caltrop|荠||||||17|4422.3|TYX|廿卜難|53315.110|1063.080|56|140|||||
薻|zao3||||||||17||TEVD|廿水女木|53316.070|1063.100|52 1567|140|||||
薼|chen2||||||||17||TIPG|廿戈心土|53315.090|1063.120||140|||||
薽|zhen1|a bright blue orchid that grows in south China|||||||16|4411.7|TMGN|廿一土弓|53300.120|1063.140||140|||||
薾|er3|luxuriant growth of flower|||||||17|4422.7|TMFB|廿一火月|53311.050|1063.180||140|||||
薿|ni3|flower|||||||17|4448.1|TPKO|廿心大人|53315.010|1063.190|1538A|140|||||
藀|ying2||||||||17|4480.9|TFFF|廿火火火|53316.010|1063.210||140|||||
藁|gao3|straw, hay; dry, withered|||||||17|4490.4|TYRD|廿卜口木|53315.050|1063.220|637 637A|140|||||
藂|cong2||||||||17|4433.4|TSEO|廿尸水人|53310.130|1063.240|290|140|||||
藃|xiao1||||||||17|4428.2|TYBO|廿卜月人|53315.070|1063.280|480|140|||||
藄|qi2|edible fern|||||||17|4490.0|TTCF|廿廿金火|53310.110|1063.310||140|||||
藅|fa2||||||||17|4462.6|TWLN|廿田中弓|53313.040|1063.320||140|||||
藆|jian3||||||||17|4450.2|TJTQ|廿十廿手|53316.090|1063.330||140|||||
藇|xu4|fine|||裦||||16|4480.1|THXC|廿竹難金|53302.130|1063.340|1616|140|||||
藈|kui2||||||||17|4463.4|TBUK|廿月山大|53312.080|1063.360||140|||||
藉|ji2|mat, pad; rely on; pretext|||耤||4||17|4496.1|TQDA|廿手木日|53309.120|1063.420|172|140||2799|excuse|2852|in disorder
藊|bian3|a kind of bean with flat pods|||||||17||THDB|廿竹木月|53313.120|1064.040|1042A|140|||||
藋|diao4||||||||17|4421.4|TSMG|廿尸一土|53317.020|1064.060|1327|140|||||
藌|mi4||||||||17||XTJPI|難廿十心戈|53316.120|1064.150||140|||||
藍|lan2|blue; indigo plant; surname|蓝||||3||17|4410.7|TSIT|廿尸戈廿|53311.080|1064.160|544|140||1082|blue||
藎|jin4|a kind of weed; faithfulness|荩||||||17|4410.7|TLMT|廿中一廿|53316.150|1064.200|315|140|||||
藏|cang2|hide, conceal; hoard, store up|||||4||17|4425.3|TIMS|廿戈一尸|53311.110|1064.220|251 258|140|5|2188|hide|1981|hide
藐|miao3|disregard, slight, disdain|||||5||17|4421.6|TBHU|廿月竹山|53314.110|1064.260|871A|140|6||||
藑|qiong2||||||||17|4440.7|TNBE|廿弓月水|53314.160|1064.270||140|||||
藒|qie4||||||||17|4492.7|THDV|廿竹木女|53313.110|1064.290||140|||||
藓|xian3|moss, lichen||蘚|||||17|4415|TNMQ|廿弓一手|53314.140|1064.421||140|||||
藔|liao2||||||||21||TJKF|廿十大火|53316.131|1064.421||140|||||
藕|ou3|lotus root|||||||18|4492.7|TQDB|廿手木月|53317.060|1065.020|965|140|||||
藖|xian2||||||||18||TSEC|廿尸水金|53318.110|1065.060||140|||||
藗|su4||||||||17|4430.8|TYDO|廿卜木人|53318.120|1065.160||140|||||
藘|lü2|madder|||||||18|4423.6|TYPP|廿卜心心|53318.210|1065.170|843|140|||||
藙|yi4|dogwood|||||||18|4424.7|TYOE|廿卜人水|53322.020|1065.210|960A|140|||||
藚|xu4|water plant|||||||18|4480.6|TGWC|廿土田金|53317.090|1065.250|1395|140|||||
藛|xie3||||||||18||TJHF|廿十竹火|53323.010|1065.270||140|||||
藜|li2|Chenopodium album, pigweed|||||||18|4413.2|THHE|廿竹竹水|53320.040|1065.300|769 791A|140|||||
藝|yi4|art; talent, ability; craft|艺||埶秇蓺||3||18|4473.1|TGII|廿土戈戈|53317.120|1065.340|962A|140||1135|technique||
藞|la3||||||||18|4466.1|TMRR|廿一口口|53318.130|1065.390||140|||||
藟|lei3|vine, creeper; to wind|||蘽||||18|4466.6|TWWW|廿田田田|53319.070|1065.400|841|140|||||
藠|jiao4||||||||18||THAA|廿竹日日|53320.100|1065.410||140|||||
藡|di2||||||||17|4430.2|TYYB|廿卜卜月|53322.040|1065.420|1189|140|||||
藢|zhi3||||||||18|4424.8|THOK|廿竹人大|53321.010|1065.440||140|||||
藣|bei1||||||||18|4421.1|TWLP|廿田中心|53319.110|1065.450||140|||||
藤|teng2|rattan, cane; creeper plant|||籐||4||18|4423.2|TBFE|廿月火水|53321.050|1065.460|1316|140||2180|rattan|2250|rattan
藥|yao4|drugs, pharmaceuticals, medicine|药||葯||4||18|4490.4|TVID|廿女戈木|53320.110|1065.470|972|140||1036|medicine||
藦|mo4|edible mushrooms|||蘑||||18|4425.2|TIDQ|廿戈木手|53321.130|1066.010|920|140|||||
藧|huan4||||||||18||TVFE|廿女火水|53323.120|1066.020||140|||||
藨|biao1||||||||18|4423.1|TIPF|廿戈心火|53321.150|1066.030||140|||||
藩|fan1|fence; boundary; outlying border|||||5||18|4416.9|TEHW|廿水竹田|53322.100|1066.050|338 1090|140|||||
藪|sou3|marsh, swamp; wild country; clump of trees or bushes|薮||||||18|4444.8|TLVK|廿中女大|53319.050|1066.070|1225|140|||||
藫|tan2||||||||18|4414.6|TEMJ|廿水一十|53322.050|1066.080||140|||||
藬|tui1||||||||17|4428.6|TNLC|廿弓中金|53316.180|1066.090||140|||||
藭|qiong2||||||||18|4442.7|TJCN|廿十金弓|53323.020|1066.110|695|140|||||
藮|qiao2||||||||19||TDOF|廿木人火|53324.090|1066.130||140|||||
藯|wei4||||||||18|4433.4|TSIP|廿尸戈心|53323.060|1066.140||140|||||
藰|liu2||||||||18|4412.0|THCN|廿竹金弓|53321.080|1066.150||140|||||
藱|hui4||||||||17|4411.3|TKHI|廿大竹戈|53321.140|1066.200||140|||||
藲|ou1||||||||18|4491.6|TDSR|廿木尸口|53318.051|1066.371||140|||||
藳|gao3||||||||18||TYRD|廿卜口木|53321.110|1066.371|637A|140|||||
藴|yun4|collect|||||||18||XTVFT|難廿女火廿|53323.130|1066.371|1440A|140|||||
藵|bao3||||||||18||TODV|廿人木女|53320.081|1066.371||140|||||
藶|li4|a kind of plant|苈||||||19|4421.1|TMDM|廿一木一|53324.140|1066.400||140|||||
藷|shu3|yam, tuber, potato|||薯||||18|4466.4|TYRA|廿卜口日|53321.090|1067.010|259|140|||||
藸|chu2||||||||18|4426.4|TMOA|廿一人日|53318.160|1067.020||140|||||
藹|ai3|lush; affable, friendly|蔼||||5||19|4462.7|TYRV|廿卜口女|53328.030|1067.070|1592|140|||||
藺|lin4|rush used in making mats; surname|蔺||||5||19|4422.7|TANG|廿日弓土|53329.100|1067.090|855|140|||||
藻|zao3|splendid, magnificent; algae|||||5||19|4419.4|TERD|廿水口木|53329.050|1067.110|222|140||2264|algae|2333|algae
藼|xuan1||||||||19||TJQP|廿十手心|53329.070|1067.120||140|||||
藽|qin4||||||||19|4491.6|TYDU|廿卜木山|53328.100|1067.140||140|||||
藾|lai4|shade|||||||19|4498.6|TDLC|廿木中金|53324.100|1067.150|764|140|||||
藿|huo4|lophanthus rugosus, betony|||||||19|4421.4|TMBG|廿一月土|53325.010|1067.160|371|140|||||
蘀|tuo4|falling leaves and barks|||||||19|4454.1|TQWJ|廿手田十|53324.010|1067.180|18|140|||||
蘁|wu4||||||||19|4410.6|TMGR|廿一土口|53324.060|1067.190|971|140|||||
蘂|rui3|stamen or pistil|||||||19|4433.3|TPPD|廿心心木|53329.090|1067.200|1640|140|||||
蘃|rui3||||||||19||TYMD|廿卜一木|53325.030|1067.210||140|||||
